Stat,FAIR,Citations,Mentions
Sum,,7669263.0,46771.0
UniqueCount,37.0,,
Avg,19.573800703630216,0.1563204356716586,0.0009533201686784173
AvgNonZero,19.573800703630216,3.7140744988060064,3.6155689548546692
Median,13.46,0.0,0.0
Min,13.46,0.0,0.0
Max,100.0,30948.0,737.0
90th,30.769999999999996,0.0,0.0
95th,55.77,0.0,0.0
99th,84.62,1.0,0.0
StdDev,14.753385912517468,15.231399637923898,0.26660560268746775
Skew,2.970322407768371,961.3898598869706,1333.3758987639403
ZeroPct,0.0,95.79113354560033,99.97363291419464
